FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m24c49r2.htb	0.961	-1.634	60	58.881	35.485	60	40.699	43.307	1.12	-3.063	-0.206
m24c49r2.htb	0.797	0.862	18	15.913	24.541	18	21.733	20.328	2.417	0.724	1
m24c49r2.htb	0.363	1.31	60	10.742	24.317	60	31.804	35.547	-1.694	2.392	0.228
m24c52r2.htb	0.07	0.383	18	24.976	5.64	18	5.959	6.118	-0.395	0.392	0.373
m24c52r2.htb	0.006	0.202	60	7.445	2.929	60	3.695	4.079	-1.369	0.041	0.364
m24c56r2.htb	0.857	0.735	18	14.52	12.872	18	14.415	15.186	-3.605	0.936	0.534
m24c56r2.htb	0.252	0.628	60	7.87	16.001	60	12.536	10.804	-0.954	0.825	0.431
m24c56r2.htb	0.749	0.832	18	14.109	13.01	18	12.55	12.319	-3.999	0.884	0.779
m24c56r2.htb	0.232	0.532	60	7.858	16.364	60	11.386	8.898	0.067	0.747	0.316
m24c56r2.htb	0.845	0.747	18	13.59	13.181	18	13.087	13.04	-3.802	0.795	0.699
m24c56r2.htb	0.293	0.505	60	8.011	15.514	60	12.218	10.569	0.227	0.732	0.278
m24c56r2.htb	0.81	0.835	18	14.473	13.55	18	13.366	13.274	-4.368	0.944	0.725
m24c56r2.htb	0.242	0.381	60	7.903	16.777	60	12.236	9.965	-0.392	0.391	0.371
m24c56r2.htb	0.81	0.835	18	14.473	13.55	18	13.366	13.274	-4.368	0.944	0.725
m24c56r2.htb	0.242	0.381	60	7.903	16.777	60	12.236	9.965	-0.392	0.391	0.371
m24c64r2.htb	0.619	0.681	16	14.059	6.653	16	6.913	7.044	0.064	0.727	0.635
m24c64r2.htb	0.043	-0.086	60	3.713	6.142	60	6.538	6.736	-0.233	0.235	-0.406
m24c64r2.htb	0.571	0.692	16	15.387	3.504	16	4.403	4.853	-0.713	0.734	0.65
